CMG,13.935718565860043
RRC,10.565204858635227
SIG,5.975642453254125
CHK,3.6747660526899164
DISCA,3.3872419962151206
VIAB,3.3538710871940296
UAA,3.257041653187059
DISCK,3.0184667782055
M,2.8826920296677265
TRIP,2.258813454274403
MAT,1.741775403214131
NBL,1.6190796406222745
CTL,1.3277926358635916
APA,1.2073717577937089
KMI,1.1185772143674804
GE,0.9863862164806285
EQT,0.8364194811114132
SRCL,0.829195995040223
HCP,0.8167861946818995
SCG,0.6393249412116973
KIM,0.535733466528983
MOS,0.458989807459659
NOV,0.2444091511422144
F,-0.34341878164979533
MRO,-0.39093434328168186
LB,-0.5280098368932897
PRGO,-0.5348179375483539
HES,-0.5963598150177702
AES,-0.6712132679639602
VNO,-0.7550739999140035
NWL,-0.807809925746291
XRX,-1.0334811812931264
PCG,-1.1066468733265609
NI,-1.1936123766413722
ARNC,-1.4221788506453379
DISH,-1.4369268872320333
PDCO,-1.4941537656191635
GGP,-1.5374917504770984
DVN,-1.553125834847954
FLS,-1.5781503825254148
COG,-1.735516556193481
HRB,-1.7784178243701554
COTY,-1.8046218598806938
FTI,-1.8105573081902406
WMB,-2.0422402996528355
PPL,-2.0760114945838595
HST,-2.0912929914862204
HBI,-2.13124552318752
FCX,-2.2390407049400345
WU,-2.2498157214570433
NLSN,-2.2655562226448467
FE,-2.3569061896746533
IPG,-2.3961763661630684
NFX,-2.5346349851194425
PBCT,-2.6256081505002236
VTR,-2.658385167486969
BEN,-2.66288954605411
NWSA,-2.8235562272782193
JNPR,-2.840129985712089
LUK,-2.844995121416936
NWS,-2.8639549753976254
JWN,-2.8877975728474468
HBAN,-2.8954863101345296
JCI,-2.987605096591011
APC,-3.064519533941869
HOG,-3.1145320339401863
NAVI,-3.1605791672052224
IVZ,-3.25881455933337
IRM,-3.277161850441715
CAG,-3.284553165270328
CNP,-3.332267657660722
HCN,-3.3385062611281455
SYMC,-3.5106029617045955
GPS,-3.517346802234364
SO,-3.555638114149211
CPB,-3.6190710935103283
T,-3.6851668609605888
KR,-3.699999972858805
MYL,-3.7118996794271126
MET,-3.8211193014189817
MAC,-3.8632002007942816
CA,-3.914478248685615
DRE,-3.9526100578643604
KEY,-4.008466940730928
WY,-4.024731898162166
EQR,-4.0552165068799155
PFE,-4.115733104261928
ADM,-4.138982509165004
CF,-4.140651894966673
FL,-4.1467190428983685
RF,-4.157131029375371
UDR,-4.174309577896153
XL,-4.186935084997263
NRG,-4.197484975577336
EXC,-4.232949507454396
UA,-4.3535020140607745
HRL,-4.530255721672283
AMD,-4.68919140259705
AIV,-4.7311660330278436
KO,-4.82757453646003
CBS,-4.836811834633153
SLB,-4.878900069195382
BLL,-4.938864151269222
REG,-4.975928003136453
PWR,-5.068061881548449
LNT,-5.21502586455351
VZ,-5.25626234555304
GT,-5.301635008862043
MRK,-5.351443977352844
CAH,-5.399114744324621
O,-5.405219036013108
PHM,-5.4884381820565835
EBAY,-5.521006917627517
XOM,-5.589163889901059
GIS,-5.604051013927588
L,-5.639921104386971
GLW,-5.652795851098254
GM,-5.735262541298521
OXY,-5.738855912733449
MDLZ,-5.83134039056808
K,-5.836650399072894
EIX,-5.846647833868488
LEG,-5.885164174197239
TSCO,-5.909124753058151
AGN,-5.92984959782234
COP,-5.984119496358993
ALXN,-5.990707106890568
SEE,-5.993467883695992
FITB,-6.0201814969392
CVS,-6.096695609677653
FLR,-6.119275120542021
XEL,-6.1293850207073035
CMS,-6.186196490785399
BSX,-6.33002089039017
PEG,-6.435732097936487
HAL,-6.501531673063965
LKQ,-6.530482200697406
STX,-6.696582418971651
QCOM,-6.7038859901476755
CMCSA,-6.770367779973995
FAST,-6.7807592046682
FOX,-6.789256014841001
CHD,-6.791982811071321
DUK,-6.848399416205304
NEM,-6.860647782375175
SLG,-6.861967652059889
FOXA,-6.87482048001268
HPE,-6.9034636183067075
MGM,-6.960880565459188
TPR,-6.984232740683254
HOLX,-7.018660303019722
ORCL,-7.0632389114202
XRAY,-7.083656408230489
AIG,-7.107727542571915
OMC,-7.179324215274875
CSCO,-7.186763905639882
RL,-7.191345191498414
CBG,-7.270497517501234
ETR,-7.28448927509551
WFC,-7.292710620016599
BAC,-7.365743839256764
BMY,-7.390605947689792
FRT,-7.457562124116578
CL,-7.47349857630789
WBA,-7.532284078744119
CERN,-7.62485739617707
AEE,-7.676924825452804
ES,-7.681643318269288
BWA,-7.711476888862336
PG,-7.755178142866917
HP,-7.895889048581914
D,-7.985410554992242
INTC,-8.031773124753617
USB,-8.037886253795811
PNR,-8.055574332307188
RHI,-8.193352685105985
SBUX,-8.213184047439228
OKE,-8.224558943416575
WEC,-8.256010277858287
AEP,-8.318982795315314
IP,-8.389825560933161
TGT,-8.507960332546865
ESRX,-8.51671681947606
AKAM,-8.584514080508796
DVA,-8.694392172775586
FLIR,-8.698458893614042
GILD,-8.725724263193115
MAS,-8.737018807325612
ALK,-8.782529333829004
BBT,-8.83092054912031
HSIC,-9.023594744445468
KMX,-9.034684932590821
UNM,-9.08623332237389
PCAR,-9.110929706095085
YUM,-9.122902779493387
EMR,-9.184320964638104
TAP,-9.24344867755785
HIG,-9.319474331886042
NUE,-9.401464246360796
BAX,-9.426733506743119
JEC,-9.45170102795042
EXPD,-9.611407722866417
KSS,-9.631157314048416
ABT,-9.671725225711086
BK,-9.724881573135924
CELG,-9.748361684327335
PNW,-9.935676785219663
BXP,-9.952243515741642
ED,-9.969972801464365
DAL,-9.973794149875157
KORS,-9.994454051491964
TJX,-9.997898221946812
LLY,-10.079608470969895
